# Position [m],Scalar_Field [GeV],Effective_Mass [GeV],Metric_Factor,Gamma_Mu [GeV]
1.984985e-15,4.783470e+09,3.606289e+05,1.000002e+00,-9.083898e+09
1.990991e-15,4.670595e+09,3.458939e+05,1.000002e+00,-8.686458e+09
1.996997e-15,4.560054e+09,3.317072e+05,1.000002e+00,-8.305132e+09
2.003003e-15,4.451809e+09,3.180506e+05,1.000002e+00,-7.939328e+09
2.009009e-15,4.345819e+09,3.049068e+05,1.000002e+00,-7.588473e+09
2.015015e-15,4.242047e+09,2.922588e+05,1.000002e+00,-7.252012e+09
2.021021e-15,4.140455e+09,2.800901e+05,1.000002e+00,-6.929408e+09
2.027027e-15,4.041003e+09,2.683845e+05,1.000002e+00,-6.620140e+09
2.033033e-15,3.943656e+09,2.571265e+05,1.000002e+00,-6.323708e+09
2.039039e-15,3.848376e+09,2.463010e+05,1.000001e+00,-6.039625e+09
2.045045e-15,3.755128e+09,2.358931e+05,1.000001e+00,-5.767421e+09
2.051051e-15,3.663874e+09,2.258885e+05,1.000001e+00,-5.506644e+09
2.057057e-15,3.574580e+09,2.162733e+05,1.000001e+00,-5.256854e+09
2.063063e-15,3.487211e+09,2.070339e+05,1.000001e+00,-5.017628e+09
2.069069e-15,3.401732e+09,1.981573e+05,1.000001e+00,-4.788557e+09
2.075075e-15,3.318109e+09,1.896308e+05,1.000001e+00,-4.569246e+09
2.081081e-15,3.236308e+09,1.814419e+05,1.000001e+00,-4.359314e+09
2.087087e-15,3.156295e+09,1.735787e+05,1.000001e+00,-4.158392e+09
2.093093e-15,3.078039e+09,1.660296e+05,1.000001e+00,-3.966126e+09
2.099099e-15,3.001507e+09,1.587832e+05,1.000001e+00,-3.782172e+09
2.105105e-15,2.926666e+09,1.518287e+05,1.000001e+00,-3.606200e+09
2.111111e-15,2.853486e+09,1.451556e+05,1.000001e+00,-3.437892e+09
2.117117e-15,2.781935e+09,1.387534e+05,1.000001e+00,-3.276940e+09
2.123123e-15,2.711982e+09,1.326123e+05,1.000001e+00,-3.123047e+09
2.129129e-15,2.643598e+09,1.267228e+05,1.000001e+00,-2.975928e+09
2.135135e-15,2.576751e+09,1.210754e+05,1.000001e+00,-2.835307e+09
2.141141e-15,2.511415e+09,1.156611e+05,1.000001e+00,-2.700921e+09
2.147147e-15,2.447558e+09,1.104713e+05,1.000001e+00,-2.572512e+09
2.153153e-15,2.385152e+09,1.054975e+05,1.000001e+00,-2.449836e+09
2.159159e-15,2.324171e+09,1.007315e+05,1.000001e+00,-2.332655e+09
2.165165e-15,2.264585e+09,9.616547e+04,1.000001e+00,-2.220741e+09
2.171171e-15,2.206367e+09,9.179175e+04,1.000000e+00,-2.113875e+09
2.177177e-15,2.149491e+09,8.760296e+04,1.000000e+00,-2.011846e+09
2.183183e-15,2.093930e+09,8.359200e+04,1.000000e+00,-1.914451e+09
2.189189e-15,2.039658e+09,7.975196e+04,1.000000e+00,-1.821495e+09
2.195195e-15,1.986650e+09,7.607620e+04,1.000000e+00,-1.732788e+09
2.201201e-15,1.934879e+09,7.255830e+04,1.000000e+00,-1.648152e+09
2.207207e-15,1.884322e+09,6.919206e+04,1.000000e+00,-1.567411e+09
2.213213e-15,1.834953e+09,6.597150e+04,1.000000e+00,-1.490400e+09
2.219219e-15,1.786749e+09,6.289083e+04,1.000000e+00,-1.416958e+09
2.225225e-15,1.739685e+09,5.994450e+04,1.000000e+00,-1.346931e+09
2.231231e-15,1.693739e+09,5.712712e+04,1.000000e+00,-1.280170e+09
2.237237e-15,1.648888e+09,5.443351e+04,1.000000e+00,-1.216534e+09
2.243243e-15,1.605108e+09,5.185868e+04,1.000000e+00,-1.155886e+09
2.249249e-15,1.562379e+09,4.939781e+04,1.000000e+00,-1.098095e+09
2.255255e-15,1.520676e+09,4.704625e+04,1.000000e+00,-1.043036e+09
2.261261e-15,1.479981e+09,4.479954e+04,1.000000e+00,-9.905873e+08
2.267267e-15,1.440270e+09,4.265337e+04,1.000000e+00,-9.406337e+08
2.273273e-15,1.401524e+09,4.060358e+04,1.000000e+00,-8.930640e+08
2.279279e-15,1.363722e+09,3.864618e+04,1.000000e+00,-8.477718e+08
2.285285e-15,1.326843e+09,3.677733e+04,1.000000e+00,-8.046549e+08
2.291291e-15,1.290869e+09,3.499331e+04,1.000000e+00,-7.636154e+08
2.297297e-15,1.255780e+09,3.329058e+04,1.000000e+00,-7.245595e+08
2.303303e-15,1.221556e+09,3.166569e+04,1.000000e+00,-6.873973e+08
2.309309e-15,1.188179e+09,3.011536e+04,1.000000e+00,-6.520425e+08
2.315315e-15,1.155631e+09,2.863642e+04,1.000000e+00,-6.184128e+08
2.321321e-15,1.123893e+09,2.722580e+04,1.000000e+00,-5.864289e+08
2.327327e-15,1.092948e+09,2.588060e+04,1.000000e+00,-5.560153e+08
2.333333e-15,1.062779e+09,2.459798e+04,1.000000e+00,-5.270995e+08
2.339339e-15,1.033368e+09,2.337524e+04,1.000000e+00,-4.996120e+08
2.345345e-15,1.004698e+09,2.220979e+04,1.000000e+00,-4.734865e+08
2.351351e-15,9.767528e+08,2.109912e+04,1.000000e+00,-4.486595e+08
2.357357e-15,9.495167e+08,2.004085e+04,1.000000e+00,-4.250701e+08
2.363363e-15,9.229734e+08,1.903265e+04,1.000000e+00,-4.026603e+08
2.369369e-15,8.971074e+08,1.807234e+04,1.000000e+00,-3.813745e+08
2.375375e-15,8.719034e+08,1.715779e+04,1.000000e+00,-3.611594e+08
2.381381e-15,8.473464e+08,1.628695e+04,1.000000e+00,-3.419644e+08
2.387387e-15,8.234215e+08,1.545789e+04,1.000000e+00,-3.237407e+08
2.393393e-15,8.001145e+08,1.466873e+04,1.000000e+00,-3.064421e+08
2.399399e-15,7.774111e+08,1.391767e+04,1.000000e+00,-2.900241e+08
2.405405e-15,7.552975e+08,1.320300e+04,1.000000e+00,-2.744444e+08
2.411411e-15,7.337599e+08,1.252306e+04,1.000000e+00,-2.596625e+08
2.417417e-15,7.127850e+08,1.187628e+04,1.000000e+00,-2.456398e+08
2.423423e-15,6.923598e+08,1.126114e+04,1.000000e+00,-2.323394e+08
2.429429e-15,6.724713e+08,1.067619e+04,1.000000e+00,-2.197262e+08
2.435435e-15,6.531071e+08,1.012003e+04,1.000000e+00,-2.077664e+08
2.441441e-15,6.342546e+08,9.591354e+03,1.000000e+00,-1.964281e+08
2.447447e-15,6.159020e+08,9.088871e+03,1.000000e+00,-1.856806e+08
2.453453e-15,5.980372e+08,8.611366e+03,1.000000e+00,-1.754948e+08
